file,line,column,type,code,message,docs,severity,link
"D:\XAMPP\htdocs\Pluging\wp-content\plugins\pnscode-social-login-and-register\admin\views\security.php",157,57,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'wp_nonce_url'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,
"D:\XAMPP\htdocs\Pluging\wp-content\plugins\pnscode-social-login-and-register\includes\class-pnscsolo-form-builder.php",123,104,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found 'wp_login_url'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,
"D:\XAMPP\htdocs\Pluging\wp-content\plugins\pnscode-social-login-and-register\includes\class-pnscsolo-form-builder.php",222,72,WARNING,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,"Detected usage of a non-sanitized input variable: $_POST[&#039;fields&#039;]",,5,
"D:\XAMPP\htdocs\Pluging\wp-content\plugins\pnscode-social-login-and-register\includes\class-pnscsolo-page-handler.php",47,25,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,
"D:\XAMPP\htdocs\Pluging\wp-content\plugins\pnscode-social-login-and-register\includes\class-pnscsolo-page-handler.php",47,79,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,
"D:\XAMPP\htdocs\Pluging\wp-content\plugins\pnscode-social-login-and-register\includes\class-pnscsolo-page-handler.php",112,42,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,
"D:\XAMPP\htdocs\Pluging\wp-content\plugins\pnscode-social-login-and-register\includes\class-pnscsolo-page-handler.php",112,93,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,
"D:\XAMPP\htdocs\Pluging\wp-content\plugins\pnscode-social-login-and-register\includes\class-pnscsolo-page-handler.php",120,35,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,
"D:\XAMPP\htdocs\Pluging\wp-content\plugins\pnscode-social-login-and-register\includes\class-pnscsolo-page-handler.php",120,85,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,
"D:\XAMPP\htdocs\Pluging\wp-content\plugins\pnscode-social-login-and-register\includes\class-pnscsolo-page-handler.php",198,14,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$output'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,
